skill_name,skill_rating,skill_reviews,skill_link,skill_description
None,No Rating,,https://www.amazon.com/Doggie-Investigation-Gang-Missing-Canine/dp/B084V2CJZD/ref=sr_1_1233?dchild=1&qid=1624660703&s=alexa-skills&sr=1-1233,
None,No Rating,,https://www.amazon.com/Asier-Barrasa-howAreU/dp/B07ZGM5R2L/ref=sr_1_1727?dchild=1&qid=1624660755&s=alexa-skills&sr=1-1727,
None,No Rating,,https://www.amazon.com/Viki-Lee-Animal-Yoga/dp/B078RTJPJ5/ref=sr_1_3398?dchild=1&qid=1624660935&s=alexa-skills&sr=1-3398,
None,No Rating,,https://www.amazon.com/MODAL-Happy-Thoughts/dp/B07HM2JJ78/ref=sr_1_2790?dchild=1&qid=1624660869&s=alexa-skills&sr=1-2790,
None,No Rating,,https://www.amazon.com/Stephanie-Fathers-Day-Greeting/dp/B08BLT9494/ref=sr_1_829?dchild=1&qid=1624660658&s=alexa-skills&sr=1-829,
None,No Rating,,https://www.amazon.com/Happy-Princess-Children-Anytime-Stories/dp/B07NWMLRVN/ref=sr_1_2368?dchild=1&qid=1624660823&s=alexa-skills&sr=1-2368,
None,No Rating,,https://www.amazon.com/Lakshmi-Priya-Surprise/dp/B08LNMR5GC/ref=sr_1_577?dchild=1&qid=1624660630&s=alexa-skills&sr=1-577,
None,No Rating,,https://www.amazon.com/Sade-Smith-Feelings-with-Ziggy/dp/B078WPKKLF/ref=sr_1_3323?dchild=1&qid=1624660927&s=alexa-skills&sr=1-3323,
None,No Rating,,https://www.amazon.com/Ashley-Worlds-Best-Dad/dp/B082YVYN1N/ref=sr_1_1462?dchild=1&qid=1624660727&s=alexa-skills&sr=1-1462,
None,No Rating,,https://www.amazon.com/Tiffany-Happy-Fathers-Day/dp/B07T2ZYBH9/ref=sr_1_2091?dchild=1&qid=1624660794&s=alexa-skills&sr=1-2091,
None,No Rating,,https://www.amazon.com/Valora-Moms-the-bomb/dp/B088KMGJXK/ref=sr_1_949?dchild=1&qid=1624660672&s=alexa-skills&sr=1-949,
None,No Rating,,https://www.amazon.com/SayKid-Robot-Says-Following-Directions/dp/B088DPRBDC/ref=sr_1_972?dchild=1&qid=1624660673&s=alexa-skills&sr=1-972,
None,No Rating,,https://www.amazon.com/none-compliment-me/dp/B084Q2FLXD/ref=sr_1_1244?dchild=1&qid=1624660703&s=alexa-skills&sr=1-1244,
None,No Rating,,https://www.amazon.com/Sanay-Happy-Fathers-day/dp/B07SRG16M2/ref=sr_1_2102?dchild=1&qid=1624660796&s=alexa-skills&sr=1-2102,
None,No Rating,,https://www.amazon.com/MJR113-Boredom-Buster/dp/B076XBYMDG/ref=sr_1_3618?dchild=1&qid=1624660960&s=alexa-skills&sr=1-3618,
None,No Rating,,https://www.amazon.com/FX-Digital-Lets-Play-Decide/dp/B08P55F4NP/ref=sr_1_489?dchild=1&qid=1624660620&s=alexa-skills&sr=1-489,
None,No Rating,,https://www.amazon.com/Speechtechie-Ninja-Feelings/dp/B07NTFM1H5/ref=sr_1_2377?dchild=1&qid=1624660824&s=alexa-skills&sr=1-2377,
None,No Rating,,https://www.amazon.com/John-Nolen-Sensory-Seeker/dp/B084WVC4H4/ref=sr_1_79?dchild=1&qid=1624660572&s=alexa-skills&sr=1-79,
None,No Rating,,https://www.amazon.com/DVG-Bantam-City-Settle-Bet/dp/B083H9T48K/ref=sr_1_1356?dchild=1&qid=1624660715&s=alexa-skills&sr=1-1356,
None,No Rating,,https://www.amazon.com/Rohan-sharma-give-compliments/dp/B081B94S9D/ref=sr_1_1645?dchild=1&qid=1624660746&s=alexa-skills&sr=1-1645,
None,No Rating,,https://www.amazon.com/SayKid-Empathy-Whats-it-Like/dp/B07HP28LG2/ref=sr_1_2784?dchild=1&qid=1624660867&s=alexa-skills&sr=1-2784,
My Compliments,No Rating,,https://www.amazon.com/Nishal-Dsouza-My-Compliments/dp/B08MLJHCH3/ref=sr_1_540?dchild=1&qid=1624660625&s=alexa-skills&sr=1-540,Ask Alexa to compliment your favorite people (or even yourself!) and she will choose from a list of compliments. This skill was created using a Skill Blueprint. Your requests to this skill are not shared with the skill developer.
None,No Rating,,https://www.amazon.com/Djacomo-Naples-Best-Mom/dp/B07PRG69YP/ref=sr_1_2297?dchild=1&qid=1624660816&s=alexa-skills&sr=1-2297,
None,No Rating,,https://www.amazon.com/Adrian-Brown-Worlds-Best-Kid/dp/B08BCGCXDX/ref=sr_1_839?dchild=1&qid=1624660659&s=alexa-skills&sr=1-839,
None,No Rating,,https://www.amazon.com/Michael-Myers-Amazing-Renee/dp/B081NHGK84/ref=sr_1_1607?dchild=1&qid=1624660743&s=alexa-skills&sr=1-1607,
None,No Rating,,https://www.amazon.com/ALESSANDRO-STANO-Worlds-Best-Dad/dp/B08N1GQBGK/ref=sr_1_523?dchild=1&qid=1624660623&s=alexa-skills&sr=1-523,
None,No Rating,,https://www.amazon.com/Malik-Whose-Turn/dp/B07S2FBCD8/ref=sr_1_2147?dchild=1&qid=1624660801&s=alexa-skills&sr=1-2147,
None,No Rating,,https://www.amazon.com/Michelle-Van-Campen-California-Adventure/dp/B07WJJQH1J/ref=sr_1_1928?dchild=1&qid=1624660777&s=alexa-skills&sr=1-1928,
None,No Rating,,https://www.amazon.com/Love-You-for-mothers-day/dp/B088DTCQKT/ref=sr_1_970?dchild=1&qid=1624660673&s=alexa-skills&sr=1-970,
None,No Rating,,https://www.amazon.com/Mary-Grantham-Worlds-Best-Mom/dp/B07VRBL9D1/ref=sr_1_1977?dchild=1&qid=1624660782&s=alexa-skills&sr=1-1977,
None,No Rating,,https://www.amazon.com/Danielle-Fisher-Little-Yogis/dp/B07PDYP7NJ/ref=sr_1_2323?dchild=1&qid=1624660819&s=alexa-skills&sr=1-2323,
None,No Rating,,https://www.amazon.com/Streets-Ahead-Whose-Turn/dp/B075Q5T3BD/ref=sr_1_137?dchild=1&qid=1624660579&s=alexa-skills&sr=1-137,
None,No Rating,,https://www.amazon.com/John-Nolen-Sensory-Avoider/dp/B084WZ7R9T/ref=sr_1_1222?dchild=1&qid=1624660702&s=alexa-skills&sr=1-1222,
None,No Rating,,https://www.amazon.com/ExcelNorma-carousel-guide/dp/B078YDYSYZ/ref=sr_1_3235?dchild=1&qid=1624660918&s=alexa-skills&sr=1-3235,
None,No Rating,,https://www.amazon.com/Jen-Tuttle-Parsons-Cool-Down/dp/B07D9RXPDS/ref=sr_1_3038?dchild=1&qid=1624660895&s=alexa-skills&sr=1-3038,
None,No Rating,,https://www.amazon.com/Melissa-Fathers-Day-Greeting/dp/B07T42R6YX/ref=sr_1_2084?dchild=1&qid=1624660794&s=alexa-skills&sr=1-2084,
None,No Rating,,https://www.amazon.com/Dinesh-Thangaraj-House-Guest-Four/dp/B0854BDN35/ref=sr_1_1198?dchild=1&qid=1624660698&s=alexa-skills&sr=1-1198,
None,No Rating,,https://www.amazon.com/Kathlynn-Baker-Thinking-of-You/dp/B08BQJY7LV/ref=sr_1_822?dchild=1&qid=1624660658&s=alexa-skills&sr=1-822,
None,No Rating,,https://www.amazon.com/Default-User-GreetPeople/dp/B088NVWNFG/ref=sr_1_942?dchild=1&qid=1624660670&s=alexa-skills&sr=1-942,
None,No Rating,,https://www.amazon.com/GRace-My-compliments-shine/dp/B08867ZFV6/ref=sr_1_986?dchild=1&qid=1624660675&s=alexa-skills&sr=1-986,
None,No Rating,,https://www.amazon.com/Voice-Apps-That-Rock-Share/dp/B07CRH4T6J/ref=sr_1_3087?dchild=1&qid=1624660900&s=alexa-skills&sr=1-3087,
None,No Rating,,https://www.amazon.com/Love-Child-Valentines-Greeting/dp/B084T9NNTT/ref=sr_1_1238?dchild=1&qid=1624660703&s=alexa-skills&sr=1-1238,
None,No Rating,,https://www.amazon.com/gary-spencer-Moms-Story/dp/B07RTW1VQM/ref=sr_1_2162?dchild=1&qid=1624660803&s=alexa-skills&sr=1-2162,
None,No Rating,,https://www.amazon.com/Dougie-My-Compliments/dp/B0889V5CPB/ref=sr_1_981?dchild=1&qid=1624660675&s=alexa-skills&sr=1-981,
None,No Rating,,https://www.amazon.com/Haze-Not-Imposter/dp/B07CC99JY8/ref=sr_1_3106?dchild=1&qid=1624660903&s=alexa-skills&sr=1-3106,
